City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Souillac,MU,76.35,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
9,Saint-Pierre,RE,80.29,clear sky,-21.3393,55.4781,Lindsey Hôtel
15,Coahuayana,MX,77.97,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
19,Butaritari,KI,83.26,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
22,Hithadhoo,MV,82.2,overcast clouds,-0.6,73.0833,Scoop Guest House
24,Cabo San Lucas,MX,85.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
25,Bull Savanna,JM,76.78,clear sky,17.8868,-77.5902,Big Red's
32,Bambous Virieux,MU,76.21,few clouds,-20.3428,57.7575,Casa Tia Villa
37,Labuan,MY,89.76,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
38,Daru,PG,78.85,broken clouds,-9.0763,143.2092,Daru Lodge
40,Ambovombe,MG,75.74,clear sky,-25.1667,46.0833,RELAHARA
42,Vinh,VN,84.02,broken clouds,18.6667,105.6667,Khách Sạn Thương Mại
49,Hilo,US,79.29,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
55,Maumere,ID,83.07,overcast clouds,-8.6199,122.2111,Sylvia Hotel
58,Padang,ID,87.85,moderate rain,-0.9492,100.3543,Mercure Padang
62,Meulaboh,ID,81.9,overcast clouds,4.1363,96.1285,Kost Pria
63,Kiunga,PG,86.97,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
65,Ixtapa,MX,77.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
67,Cobija,BO,77.58,scattered clouds,-11.0267,-68.7692,Hotel Obelisco
69,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
75,Georgetown,MY,88.9,scattered clouds,5.4112,100.3354,Cititel Penang
78,Odweyne,SO,79.57,scattered clouds,9.4092,45.064,Eng Hiirey House
86,Vaitape,PF,79.92,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
88,Atuona,PF,78.21,scattered clouds,-9.8,-139.0333,Villa Enata
89,Carutapera,BR,76.64,broken clouds,-1.195,-46.02,Lidera
90,Mahebourg,MU,76.24,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
93,Baghmara,IN,89.87,broken clouds,23.795,86.2085,Shankar tea shop
99,Karratha,AU,85.93,clear sky,-20.7377,116.8463,ibis Styles Karratha
105,Seybaplaya,MX,77.22,overcast clouds,19.65,-90.6667,sala de fiesta san Rafael
106,Kongolo,CD,80.33,overcast clouds,-5.3833,27.0,Mustafa Zengin Büyük Çerkes Düklüğü
107,Tautira,PF,77.02,light rain,-17.7333,-149.15,Pension Oaoa
110,Honiara,SB,82.2,broken clouds,-9.4333,159.95,Heritage Park Hotel
120,Nago,JP,89.46,few clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
126,Nata,PA,79.47,overcast clouds,8.3333,-80.5167,Cabañas Estancia Bayamon
129,Cap Malheureux,MU,76.46,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
143,Faanui,PF,79.92,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
146,Najran,SA,85.26,clear sky,17.4924,44.1277,محمد هادي ال فطيح
147,Champerico,GT,80.35,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
149,Buala,SB,83.75,light rain,-8.145,159.5921,Maringe Lagoon Lodge
157,Airai,TL,75.76,broken clouds,-8.9266,125.4092,Juvinal Martin
159,Sulangan,PH,84.09,broken clouds,11.1373,123.7228,Maia's Beach Resort
161,Guaymas,MX,83.46,scattered clouds,27.9333,-110.9,Hotel Armida
165,Mwene-Ditu,CD,75.78,scattered clouds,-7.0,23.45,Hôtel Kamas
183,Kavieng,PG,83.64,light rain,-2.5744,150.7967,Nusa Island Retreat
186,Alexandria,EG,75.51,clear sky,31.2156,29.9553,Royal Crown Hotel
189,Auki,SB,82.69,scattered clouds,-8.7676,160.7034,Auki Motel
198,Lodwar,KE,83.59,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
200,Riyadh,SA,88.93,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
203,Saint-Joseph,RE,79.21,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
212,Kloulklubed,PW,86.5,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
213,Elat,IL,80.44,clear sky,29.5581,34.9482,Club Hotel Eilat
215,Bagru,IN,86.34,scattered clouds,26.8088,75.5423,Nandan Green Housed Limited
216,Ambilobe,MG,86.7,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
225,Balikpapan,ID,85.19,few clouds,-1.2675,116.8289,ibis Balikpapan
229,Ambon,ID,80.74,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
231,Clovis,US,79.68,smoke,36.8252,-119.7029,"Homewood Suites by Hilton Fresno Airport/Clovis, CA"
233,Saint-Philippe,RE,80.22,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
234,Praia,CV,77.58,broken clouds,14.9215,-23.5087,LT Aparthotel
235,Zagora,MA,76.53,clear sky,30.3484,-5.8365,Prends Ton Temps
237,Saint George,US,79.95,broken clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
240,Kavaratti,IN,81.32,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
241,Syracuse,IT,75.25,clear sky,37.0881,15.2792,Hotel Posta
242,Cockburn Town,TC,82.44,clear sky,21.4612,-71.1419,Osprey Beach Hotel
249,Bahia Honda,CU,77.86,scattered clouds,22.9036,-83.1592,Casa Gualberto - Deysi
252,Hambantota,LK,84.54,scattered clouds,6.1241,81.1185,Bungalow 63
259,Tavares,US,75.34,clear sky,28.8042,-81.7256,"Holiday Inn Express & Suites Tavares - Leesburg, an IHG Hotel"
262,Lorengau,PG,83.8,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
263,Poso,ID,83.25,broken clouds,-1.3959,120.7524,Hotel 77 Poso
265,Sao Filipe,CV,77.74,broken clouds,14.8961,-24.4956,Hotel Xaguate
272,Buchanan,LR,75.16,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
