City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Lincoln,AU,-34.7333,135.8667,57.92,62,77,12.28,broken clouds
1,Mataura,NZ,-46.1927,168.8643,44.47,91,83,3.11,broken clouds
2,Norrtalje,SE,59.758,18.705,51.03,73,36,1.63,scattered clouds
3,Punta Arenas,CL,-53.15,-70.9167,33.12,86,19,13.2,few clouds
4,Upernavik,GL,72.7868,-56.1549,19.92,59,0,4.05,clear sky
5,Souillac,MU,-20.5167,57.5167,76.35,70,17,17.34,few clouds
6,Khatanga,RU,71.9667,102.5,36.97,69,92,13.11,overcast clouds
7,Pisco,PE,-13.7,-76.2167,60.03,86,78,3.02,broken clouds
8,Ilulissat,GL,69.2167,-51.1,17.62,62,0,9.22,clear sky
9,Saint-Pierre,RE,-21.3393,55.4781,80.29,61,0,27.63,clear sky
10,Narsaq,GL,60.9167,-46.05,30.42,49,3,7.47,clear sky
11,San Jose De Guanipa,VE,8.8872,-64.1651,73.44,89,30,4.72,scattered clouds
12,Vaini,TO,-21.2,-175.2,71.31,60,100,12.26,overcast clouds
13,Nanortalik,GL,60.1432,-45.2371,37.22,71,2,5.35,clear sky
14,Sept-Iles,CA,50.2001,-66.3821,53.06,96,100,3.0,overcast clouds
15,Coahuayana,MX,18.7333,-103.6833,77.97,90,88,3.2,overcast clouds
16,Nikolskoye,RU,59.7035,30.7861,49.39,91,100,8.88,overcast clouds
17,Bluff,NZ,-46.6,168.3333,44.8,61,80,11.52,broken clouds
18,Allada,BJ,6.6655,2.1514,72.05,95,100,3.56,overcast clouds
19,Butaritari,KI,3.0707,172.7902,83.26,76,25,11.48,scattered clouds
20,Yellowknife,CA,62.456,-114.3525,41.29,99,100,4.0,overcast clouds
21,Albany,US,42.6001,-73.9662,59.59,89,100,3.0,overcast clouds
22,Hithadhoo,MV,-0.6,73.0833,82.2,76,97,14.72,overcast clouds
23,Chokurdakh,RU,70.6333,147.9167,33.24,98,100,15.48,light snow
24,Cabo San Lucas,MX,22.8909,-109.9124,85.51,75,11,1.01,few clouds
25,Bull Savanna,JM,17.8868,-77.5902,76.78,81,9,3.56,clear sky
26,East London,ZA,-33.0153,27.9116,65.14,68,74,10.76,broken clouds
27,Tuatapere,NZ,-46.1333,167.6833,44.82,67,64,6.78,broken clouds
28,Ushuaia,AR,-54.8,-68.3,37.06,70,40,6.91,scattered clouds
29,Clyde River,CA,70.4692,-68.5914,25.39,82,9,5.32,clear sky
30,Guerrero Negro,MX,27.9769,-114.0611,70.29,75,89,13.91,overcast clouds
31,Puerto Ayora,EC,-0.7393,-90.3518,68.83,90,79,8.63,broken clouds
32,Bambous Virieux,MU,-20.3428,57.7575,76.21,71,21,16.58,few clouds
33,Ponta Do Sol,PT,32.6667,-17.1,69.71,67,100,3.56,overcast clouds
34,Lannion,FR,48.75,-3.4167,61.34,100,75,4.61,mist
35,Port Alfred,ZA,-33.5906,26.891,64.26,75,53,8.86,broken clouds
36,Muros,ES,42.7762,-9.0603,64.24,93,85,9.66,overcast clouds
37,Labuan,MY,5.2767,115.2417,89.76,72,29,7.92,scattered clouds
38,Daru,PG,-9.0763,143.2092,78.85,90,72,14.27,broken clouds
39,Huntsville,US,34.7304,-86.5861,61.95,95,1,1.01,clear sky
40,Ambovombe,MG,-25.1667,46.0833,75.74,47,0,6.87,clear sky
41,Svetlogorsk,BY,52.6333,29.7333,49.08,90,25,11.48,scattered clouds
42,Vinh,VN,18.6667,105.6667,84.02,74,72,6.96,broken clouds
43,Sekoma,BW,-24.4,23.8833,72.68,24,3,8.79,clear sky
44,Jamestown,US,42.097,-79.2353,52.72,71,75,1.99,broken clouds
45,Sroda Wielkopolska,PL,52.2284,17.2762,60.73,84,100,3.69,overcast clouds
46,Avarua,CK,-21.2078,-159.775,73.45,83,90,2.3,overcast clouds
47,Providencia,MX,28.7167,-111.5833,80.65,54,82,5.99,broken clouds
48,Busselton,AU,-33.65,115.3333,63.09,76,89,9.75,overcast clouds
49,Hilo,US,19.7297,-155.09,79.29,94,28,7.58,light rain
50,Bredasdorp,ZA,-34.5322,20.0403,58.28,87,84,4.5,broken clouds
51,Rikitea,PF,-23.1203,-134.9692,74.01,70,41,17.18,scattered clouds
52,Arinos,BR,-15.9169,-46.1056,72.75,56,30,2.91,scattered clouds
53,Oyem,GA,1.5995,11.5793,67.62,99,93,1.95,overcast clouds
54,Pangody,RU,65.85,74.4859,40.1,61,7,4.88,clear sky
55,Maumere,ID,-8.6199,122.2111,83.07,65,91,0.58,overcast clouds
56,Chuy,UY,-33.6971,-53.4616,56.03,95,49,1.41,scattered clouds
57,Gastonia,US,35.2621,-81.1873,58.91,92,1,0.0,clear sky
58,Padang,ID,-0.9492,100.3543,87.85,80,99,3.31,moderate rain
59,New Norfolk,AU,-42.7826,147.0587,59.76,42,7,3.69,clear sky
60,Pevek,RU,69.7008,170.3133,29.88,95,100,11.7,light snow
61,Chilca,PE,-12.5211,-76.7372,60.08,89,99,6.26,overcast clouds
62,Meulaboh,ID,4.1363,96.1285,81.9,77,100,9.71,overcast clouds
63,Kiunga,PG,-6.1219,141.2906,86.97,67,79,2.8,broken clouds
64,Matane,CA,48.8286,-67.522,54.84,1,100,5.97,overcast clouds
65,Ixtapa,MX,20.7,-105.2,77.23,97,98,2.57,overcast clouds
66,Osa,RU,57.2829,55.4567,49.51,76,100,12.01,overcast clouds
67,Cobija,BO,-11.0267,-68.7692,77.58,57,35,3.36,scattered clouds
68,Lakes Entrance,AU,-37.8811,147.981,60.57,56,2,10.76,clear sky
69,Kapaa,US,22.0752,-159.319,80.58,77,30,3.0,light rain
70,Saint-Prosper,CA,46.2117,-70.4811,54.32,97,100,1.66,overcast clouds
71,Avera,US,33.194,-82.5271,62.71,70,0,4.54,clear sky
72,Krasnoselkup,RU,65.7,82.4667,41.76,51,10,11.74,clear sky
73,Sassandra,CI,4.95,-6.0833,74.46,95,100,6.87,moderate rain
74,Mar Del Plata,AR,-38.0023,-57.5575,57.09,64,75,1.99,broken clouds
75,Georgetown,MY,5.4112,100.3354,88.9,73,40,1.01,scattered clouds
76,Provost,CA,52.3501,-110.2683,54.19,68,96,4.7,overcast clouds
77,Port Hardy,CA,50.6996,-127.4199,53.96,96,100,10.45,moderate rain
78,Odweyne,SO,9.4092,45.064,79.57,41,39,19.17,scattered clouds
79,Lagoa,PT,39.05,-27.9833,69.6,83,92,12.3,overcast clouds
80,Henties Bay,NA,-22.116,14.2845,53.85,85,1,2.68,clear sky
81,Flinders,AU,-34.5833,150.8552,62.19,58,46,8.01,scattered clouds
