City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,2021-09-25 14:55:42,-21.2,-175.2,69.96,78,75,8.05
1,Gushikawa,JP,2021-09-25 14:55:42,26.3544,127.8686,83.43,94,1,6.91
2,Arlit,NE,2021-09-25 14:55:42,18.7369,7.3853,103.1,6,2,8.52
3,Mataura,NZ,2021-09-25 14:54:13,-46.1927,168.8643,39.47,98,90,4.32
4,Punta Arenas,CL,2021-09-25 14:52:24,-53.15,-70.9167,41.11,65,75,17.27
5,Sitka,US,2021-09-25 14:55:43,57.0531,-135.33,46.29,87,75,9.22
6,Yellowknife,CA,2021-09-25 14:55:43,62.456,-114.3525,45.41,100,90,5.75
7,Bata,GQ,2021-09-25 14:55:43,1.8639,9.7658,79.27,78,98,7.63
8,New Norfolk,AU,2021-09-25 14:55:43,-42.7826,147.0587,41.92,69,12,1.99
9,Port Alfred,ZA,2021-09-25 14:54:12,-33.5906,26.891,70.47,71,100,2.08
10,Bredasdorp,ZA,2021-09-25 14:54:55,-34.5322,20.0403,81.72,18,97,24.16
11,Mishan,CN,2021-09-25 14:55:44,45.55,131.8833,55.06,96,100,2.3
12,Chokurdakh,RU,2021-09-25 14:54:55,70.6333,147.9167,32.63,98,100,13.56
13,Mar Del Plata,AR,2021-09-25 14:55:44,-38.0023,-57.5575,61.0,63,90,11.99
14,Khani,GE,2021-09-25 14:55:44,41.9563,42.9566,47.77,94,99,2.21
15,Hermanus,ZA,2021-09-25 14:54:11,-34.4187,19.2345,68.81,50,73,16.93
16,Duku,NG,2021-09-25 14:55:44,11.2361,4.9073,90.68,49,58,5.64
17,Sao Filipe,CV,2021-09-25 14:55:45,14.8961,-24.4956,78.8,75,49,6.98
18,Tibiri,NE,2021-09-25 14:55:45,13.5627,7.0485,93.54,55,20,4.61
19,Taoudenni,ML,2021-09-25 14:55:45,22.6783,-3.9836,110.75,6,83,12.8
20,Albany,US,2021-09-25 14:54:12,42.6001,-73.9662,70.3,70,83,2.33
21,Carnarvon,AU,2021-09-25 14:55:09,-24.8667,113.6333,66.27,72,40,9.22
22,Cape Town,ZA,2021-09-25 14:55:45,-33.9258,18.4232,66.11,70,0,20.71
23,Port Elizabeth,ZA,2021-09-25 14:55:46,-33.918,25.5701,73.09,56,0,19.57
24,Isangel,VU,2021-09-25 14:55:46,-19.55,169.2667,68.41,82,82,8.72
25,Tasiilaq,GL,2021-09-25 14:55:46,65.6145,-37.6368,34.79,70,100,3.76
26,Ribeira Grande,PT,2021-09-25 14:55:46,38.5167,-28.7,72.0,94,75,9.22
27,Bacolod,PH,2021-09-25 14:55:46,10.6667,122.95,79.11,83,97,6.13
28,Ushuaia,AR,2021-09-25 14:51:33,-54.8,-68.3,40.66,56,75,12.66
29,Tselinnoye,RU,2021-09-25 14:55:47,53.0833,85.6667,41.61,56,100,10.13
30,Lac,AL,2021-09-25 14:55:47,41.6356,19.7131,77.11,49,0,4.36
31,Port Hueneme,US,2021-09-25 14:55:47,34.1478,-119.1951,70.61,83,90,0.0
32,Huilong,CN,2021-09-25 14:55:47,31.8111,121.655,76.93,80,53,11.14
33,Champerico,GT,2021-09-25 14:55:48,14.3,-91.9167,88.72,73,100,2.42
34,Ketchikan,US,2021-09-25 14:55:48,55.3422,-131.6461,45.07,93,20,0.0
35,Radchenko,RU,2021-09-25 14:55:48,56.6803,36.3718,48.04,95,100,8.37
36,Kabompo,ZM,2021-09-25 14:55:48,-13.5927,24.2008,92.19,10,2,10.63
37,Uyuni,BO,2021-09-25 14:55:49,-20.4597,-66.825,55.45,13,0,9.24
38,Nikolayevsk-Na-Amure,RU,2021-09-25 14:55:49,53.1406,140.73,48.25,69,30,3.62
39,Avarua,CK,2021-09-25 14:51:41,-21.2078,-159.775,75.25,69,75,11.5
40,Quirinopolis,BR,2021-09-25 14:55:49,-18.4483,-50.4517,98.89,16,0,4.41
41,Deputatskiy,RU,2021-09-25 14:55:49,69.3,139.9,26.33,87,100,16.51
42,Biak,ID,2021-09-25 14:54:58,-0.9131,122.8766,75.43,85,99,6.51
43,Half Moon Bay,US,2021-09-25 14:54:15,37.4636,-122.4286,61.99,91,90,0.0
44,Bugiri,UG,2021-09-25 14:55:50,0.5714,33.7417,68.77,83,100,2.28
45,Hasaki,JP,2021-09-25 14:55:13,35.7333,140.8333,66.6,63,100,16.42
46,Kodiak,US,2021-09-25 14:54:32,57.79,-152.4072,37.56,59,37,4.16
47,Nanortalik,GL,2021-09-25 14:55:50,60.1432,-45.2371,39.07,61,0,10.76
48,Airai,TL,2021-09-25 14:55:50,-8.9266,125.4092,59.97,92,99,2.26
49,Luderitz,NA,2021-09-25 14:55:50,-26.6481,15.1594,67.96,54,35,23.94
